,type,in_size,out_size,ops,params
image_encoder.transformer.resblocks.1.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.1.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.2.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.2.ln_1,LayerNorm,,,,
image_encoder.transformer.resblocks.2.mlp.c_fc,Linear,"(129, 1, 768)","(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072),(1, 3072)",608698368,2362368
image_encoder.transformer.resblocks.2.mlp.gelu,QuickGELU,,,,
image_encoder.transformer.resblocks.2.mlp.c_proj,Linear,"(129, 1, 3072)","(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768),(1, 768)",608698368,2360064
image_encoder.transformer.resblocks.2.ln_2,LayerNorm,,,,
image_encoder.transformer.resblocks.3.attn.out_proj,NonDynamicallyQuantizableLinear,,,,
image_encoder.transformer.resblocks.3.ln_1,LayerNorm,,,,
